index,axis-0,axis-1,axis-2
0.0,2.0,488.0,773.0
1.0,3.0,448.0,797.0
2.0,3.0,460.0,825.0
3.0,3.0,464.0,818.0
4.0,3.0,470.0,819.0
5.0,3.0,471.0,754.0
6.0,3.0,486.0,823.0
7.0,3.0,487.0,728.0
8.0,3.0,488.0,628.0
9.0,3.0,497.0,623.0
10.0,3.0,502.0,781.0
11.0,4.0,426.0,779.0
12.0,4.0,428.0,796.0
13.0,4.0,430.0,782.0
14.0,4.0,438.0,728.0
15.0,4.0,441.0,706.0
16.0,4.0,442.0,842.0
17.0,4.0,449.0,834.0
18.0,4.0,453.0,673.0
19.0,4.0,454.0,691.0
20.0,4.0,455.0,654.0
21.0,4.0,455.0,669.0
22.0,4.0,455.0,851.0
23.0,4.0,455.0,926.0
24.0,4.0,459.0,655.0
25.0,4.0,461.0,836.0
26.0,4.0,462.0,680.0
27.0,4.0,465.0,660.0
28.0,4.0,466.0,692.0
29.0,4.0,466.0,875.0
30.0,4.0,467.0,615.0
31.0,4.0,467.0,651.0
32.0,4.0,471.0,688.0
33.0,4.0,473.0,625.0
34.0,4.0,476.0,705.0
35.0,4.0,479.0,602.0
36.0,4.0,482.0,866.0
37.0,4.0,485.0,647.0
38.0,4.0,489.0,647.0
39.0,4.0,491.0,682.0
40.0,4.0,492.0,653.0
41.0,4.0,492.0,666.0
42.0,4.0,499.0,661.0
43.0,4.0,504.0,642.0
44.0,4.0,504.0,661.0
45.0,4.0,504.0,849.0
46.0,4.0,506.0,883.0
47.0,4.0,509.0,708.0
48.0,4.0,512.0,641.0
49.0,4.0,523.0,822.0
50.0,4.0,524.0,525.0
51.0,4.0,529.0,618.0
52.0,4.0,535.0,642.0
53.0,4.0,539.0,610.0
54.0,4.0,563.0,547.0
55.0,5.0,371.0,928.0
56.0,5.0,379.0,921.0
57.0,5.0,379.0,939.0
58.0,5.0,379.0,948.0
59.0,5.0,383.0,879.0
60.0,5.0,383.0,955.0
61.0,5.0,383.0,963.0
62.0,5.0,388.0,863.0
63.0,5.0,389.0,956.0
64.0,5.0,390.0,916.0
65.0,5.0,391.0,828.0
66.0,5.0,392.0,838.0
67.0,5.0,395.0,862.0
68.0,5.0,395.0,944.0
69.0,5.0,396.0,823.0
70.0,5.0,397.0,842.0
71.0,5.0,398.0,817.0
72.0,5.0,400.0,892.0
73.0,5.0,401.0,913.0
74.0,5.0,402.0,856.0
75.0,5.0,403.0,898.0
76.0,5.0,404.0,869.0
77.0,5.0,404.0,946.0
78.0,5.0,407.0,829.0
79.0,5.0,407.0,847.0
80.0,5.0,407.0,942.0
81.0,5.0,410.0,771.0
82.0,5.0,412.0,965.0
83.0,5.0,413.0,765.0
84.0,5.0,413.0,782.0
85.0,5.0,413.0,820.0
86.0,5.0,415.0,925.0
87.0,5.0,416.0,944.0
88.0,5.0,417.0,833.0
89.0,5.0,420.0,776.0
90.0,5.0,420.0,879.0
91.0,5.0,422.0,708.0
92.0,5.0,424.0,815.0
93.0,5.0,425.0,824.0
94.0,5.0,425.0,910.0
95.0,5.0,426.0,700.0
96.0,5.0,427.0,757.0
97.0,5.0,427.0,923.0
98.0,5.0,431.0,680.0
99.0,5.0,431.0,715.0
100.0,5.0,431.0,898.0
101.0,5.0,432.0,674.0
102.0,5.0,434.0,745.0
103.0,5.0,435.0,704.0
104.0,5.0,443.0,688.0
105.0,5.0,444.0,957.0
106.0,5.0,445.0,693.0
107.0,5.0,450.0,639.0
108.0,5.0,450.0,944.0
109.0,5.0,457.0,962.0
110.0,5.0,482.0,946.0
111.0,5.0,518.0,859.0
112.0,5.0,559.0,510.0
113.0,5.0,591.0,614.0
114.0,6.0,367.0,950.0
115.0,6.0,370.0,939.0
116.0,6.0,372.0,903.0
117.0,6.0,374.0,911.0
118.0,6.0,375.0,846.0
119.0,6.0,382.0,828.0
120.0,6.0,387.0,819.0
121.0,6.0,387.0,993.0
122.0,6.0,391.0,926.0
123.0,6.0,391.0,984.0
124.0,6.0,395.0,808.0
125.0,6.0,398.0,992.0
126.0,6.0,411.0,876.0
127.0,6.0,416.0,990.0
128.0,6.0,420.0,1003.0
129.0,6.0,424.0,730.0
130.0,6.0,424.0,735.0
131.0,6.0,425.0,715.0
132.0,6.0,426.0,990.0
133.0,6.0,432.0,665.0
134.0,6.0,432.0,971.0
135.0,6.0,439.0,899.0
136.0,6.0,443.0,987.0
137.0,6.0,453.0,621.0
138.0,6.0,453.0,1004.0
139.0,6.0,456.0,610.0
140.0,6.0,458.0,606.0
141.0,6.0,486.0,1004.0
142.0,6.0,497.0,984.0
143.0,6.0,560.0,726.0
144.0,7.0,361.0,934.0
145.0,7.0,362.0,927.0
146.0,7.0,363.0,941.0
147.0,7.0,367.0,956.0
148.0,7.0,372.0,853.0
149.0,7.0,384.0,814.0
150.0,7.0,392.0,784.0
151.0,7.0,399.0,755.0
152.0,7.0,401.0,749.0
153.0,7.0,403.0,1014.0
154.0,7.0,410.0,719.0
155.0,7.0,442.0,647.0
156.0,7.0,450.0,627.0
157.0,7.0,453.0,1021.0
158.0,7.0,460.0,1029.0
159.0,7.0,490.0,543.0
160.0,7.0,502.0,528.0
161.0,7.0,510.0,522.0
162.0,7.0,523.0,513.0
163.0,7.0,545.0,505.0
164.0,7.0,545.0,978.0
165.0,7.0,553.0,993.0
166.0,8.0,363.0,911.0
167.0,8.0,364.0,946.0
168.0,8.0,365.0,902.0
169.0,8.0,366.0,893.0
170.0,8.0,366.0,959.0
171.0,8.0,366.0,967.0
172.0,8.0,370.0,868.0
173.0,8.0,371.0,982.0
174.0,8.0,382.0,997.0
175.0,8.0,387.0,807.0
176.0,8.0,389.0,797.0
177.0,8.0,394.0,775.0
178.0,8.0,405.0,731.0
179.0,8.0,406.0,726.0
180.0,8.0,414.0,705.0
181.0,8.0,418.0,695.0
182.0,8.0,423.0,687.0
183.0,8.0,424.0,1025.0
184.0,8.0,436.0,670.0
185.0,8.0,438.0,1030.0
