index,axis-0,axis-1,axis-2
0.0,5.0,402.0,838.0
1.0,5.0,404.0,703.0
2.0,5.0,407.0,871.0
3.0,5.0,415.0,704.0
4.0,5.0,428.0,704.0
5.0,5.0,446.0,669.0
6.0,5.0,446.0,723.0
7.0,5.0,449.0,719.0
8.0,5.0,457.0,750.0
9.0,5.0,462.0,761.0
10.0,5.0,472.0,713.0
11.0,5.0,476.0,689.0
12.0,5.0,486.0,645.0
13.0,5.0,492.0,852.0
14.0,5.0,513.0,644.0
15.0,5.0,555.0,650.0
16.0,5.0,559.0,849.0
17.0,5.0,567.0,626.0
18.0,5.0,586.0,896.0
19.0,5.0,590.0,709.0
20.0,6.0,335.0,750.0
21.0,6.0,335.0,761.0
22.0,6.0,335.0,792.0
23.0,6.0,343.0,797.0
24.0,6.0,348.0,789.0
25.0,6.0,354.0,706.0
26.0,6.0,356.0,806.0
27.0,6.0,365.0,699.0
28.0,6.0,367.0,748.0
29.0,6.0,367.0,824.0
30.0,6.0,368.0,754.0
31.0,6.0,370.0,818.0
32.0,6.0,376.0,691.0
33.0,6.0,379.0,750.0
34.0,6.0,379.0,776.0
35.0,6.0,381.0,712.0
36.0,6.0,382.0,737.0
37.0,6.0,383.0,682.0
38.0,6.0,383.0,723.0
39.0,6.0,383.0,798.0
40.0,6.0,384.0,819.0
41.0,6.0,386.0,786.0
42.0,6.0,386.0,843.0
43.0,6.0,390.0,676.0
44.0,6.0,391.0,754.0
45.0,6.0,391.0,835.0
46.0,6.0,394.0,875.0
47.0,6.0,400.0,820.0
48.0,6.0,402.0,846.0
49.0,6.0,406.0,673.0
50.0,6.0,408.0,770.0
51.0,6.0,409.0,809.0
52.0,6.0,417.0,771.0
53.0,6.0,419.0,879.0
54.0,6.0,420.0,660.0
55.0,6.0,425.0,870.0
56.0,6.0,427.0,811.0
57.0,6.0,448.0,643.0
58.0,6.0,450.0,932.0
59.0,6.0,451.0,754.0
60.0,6.0,451.0,911.0
61.0,6.0,459.0,830.0
62.0,6.0,461.0,912.0
63.0,6.0,464.0,920.0
64.0,6.0,465.0,923.0
65.0,6.0,467.0,839.0
66.0,6.0,469.0,941.0
67.0,6.0,471.0,655.0
68.0,6.0,471.0,794.0
69.0,6.0,482.0,820.0
70.0,6.0,488.0,743.0
71.0,6.0,506.0,816.0
72.0,6.0,506.0,947.0
73.0,6.0,509.0,737.0
74.0,6.0,513.0,807.0
75.0,6.0,516.0,919.0
76.0,6.0,517.0,754.0
77.0,6.0,520.0,718.0
78.0,6.0,556.0,598.0
79.0,6.0,556.0,657.0
80.0,6.0,572.0,763.0
81.0,6.0,601.0,902.0
82.0,7.0,331.0,765.0
83.0,7.0,331.0,807.0
84.0,7.0,332.0,789.0
85.0,7.0,337.0,818.0
86.0,7.0,338.0,732.0
87.0,7.0,340.0,807.0
88.0,7.0,342.0,751.0
89.0,7.0,342.0,837.0
90.0,7.0,345.0,773.0
91.0,7.0,355.0,846.0
92.0,7.0,359.0,712.0
93.0,7.0,369.0,881.0
94.0,7.0,375.0,886.0
95.0,7.0,377.0,699.0
96.0,7.0,383.0,692.0
97.0,7.0,387.0,898.0
98.0,7.0,396.0,670.0
99.0,7.0,404.0,666.0
100.0,7.0,405.0,894.0
101.0,7.0,411.0,677.0
102.0,7.0,415.0,666.0
103.0,7.0,420.0,908.0
104.0,7.0,422.0,920.0
105.0,7.0,432.0,929.0
106.0,7.0,434.0,651.0
107.0,7.0,461.0,919.0
108.0,7.0,466.0,638.0
109.0,7.0,476.0,641.0
110.0,7.0,478.0,629.0
111.0,7.0,481.0,942.0
112.0,7.0,486.0,904.0
113.0,7.0,499.0,627.0
114.0,7.0,506.0,624.0
115.0,7.0,514.0,616.0
116.0,7.0,530.0,598.0
117.0,7.0,531.0,944.0
118.0,7.0,542.0,604.0
119.0,7.0,545.0,594.0
120.0,7.0,554.0,587.0
121.0,7.0,564.0,596.0
122.0,7.0,575.0,590.0
123.0,7.0,583.0,580.0
124.0,7.0,589.0,949.0
125.0,7.0,592.0,573.0
126.0,7.0,600.0,576.0
127.0,7.0,627.0,577.0
128.0,8.0,331.0,800.0
129.0,8.0,339.0,782.0
130.0,8.0,345.0,845.0
131.0,8.0,348.0,769.0
132.0,8.0,350.0,852.0
133.0,8.0,352.0,759.0
134.0,8.0,352.0,766.0
135.0,8.0,356.0,850.0
136.0,8.0,358.0,827.0
137.0,8.0,361.0,870.0
138.0,8.0,370.0,870.0
139.0,8.0,394.0,680.0
140.0,8.0,395.0,676.0
141.0,8.0,424.0,669.0
142.0,8.0,440.0,872.0
143.0,8.0,459.0,644.0
144.0,8.0,493.0,887.0
145.0,8.0,504.0,610.0
146.0,8.0,525.0,611.0
147.0,8.0,526.0,923.0
148.0,8.0,530.0,935.0
149.0,8.0,532.0,594.0
150.0,8.0,542.0,592.0
151.0,8.0,571.0,583.0
152.0,9.0,361.0,838.0
153.0,9.0,365.0,798.0
154.0,9.0,377.0,728.0
155.0,9.0,381.0,788.0
156.0,9.0,382.0,862.0
157.0,9.0,385.0,804.0
158.0,9.0,385.0,811.0
159.0,9.0,389.0,721.0
160.0,9.0,394.0,773.0
161.0,9.0,399.0,859.0
162.0,9.0,411.0,673.0
163.0,9.0,418.0,850.0
164.0,9.0,419.0,837.0
165.0,9.0,427.0,838.0
166.0,9.0,431.0,866.0
167.0,9.0,434.0,659.0
168.0,9.0,504.0,635.0
169.0,10.0,387.0,710.0
170.0,10.0,394.0,738.0
171.0,10.0,399.0,700.0
172.0,10.0,399.0,711.0
173.0,10.0,399.0,805.0
174.0,10.0,402.0,832.0
175.0,10.0,406.0,698.0
176.0,10.0,406.0,797.0
177.0,10.0,414.0,798.0
178.0,10.0,419.0,825.0
179.0,10.0,424.0,716.0
180.0,10.0,427.0,826.0
181.0,10.0,432.0,818.0
182.0,10.0,432.0,836.0
183.0,10.0,467.0,663.0
184.0,10.0,473.0,679.0
185.0,10.0,482.0,661.0
186.0,10.0,511.0,651.0
187.0,11.0,426.0,792.0
188.0,11.0,447.0,731.0
189.0,11.0,487.0,680.0
190.0,11.0,547.0,825.0
191.0,11.0,561.0,819.0
192.0,12.0,456.0,812.0
193.0,12.0,457.0,729.0
194.0,12.0,459.0,735.0
195.0,12.0,523.0,695.0
196.0,13.0,484.0,788.0
