index,axis-0,axis-1,axis-2
0.0,2.0,461.0,842.0
1.0,2.0,478.0,718.0
2.0,3.0,373.0,623.0
3.0,3.0,378.0,616.0
4.0,3.0,381.0,641.0
5.0,3.0,387.0,615.0
6.0,3.0,393.0,612.0
7.0,3.0,393.0,623.0
8.0,3.0,395.0,633.0
9.0,3.0,396.0,620.0
10.0,3.0,401.0,622.0
11.0,3.0,401.0,723.0
12.0,3.0,407.0,753.0
13.0,3.0,408.0,627.0
14.0,3.0,408.0,783.0
15.0,3.0,411.0,745.0
16.0,3.0,413.0,631.0
17.0,3.0,417.0,628.0
18.0,3.0,424.0,806.0
19.0,3.0,426.0,718.0
20.0,3.0,426.0,826.0
21.0,3.0,438.0,619.0
22.0,3.0,446.0,619.0
23.0,3.0,449.0,605.0
24.0,3.0,451.0,636.0
25.0,3.0,455.0,683.0
26.0,3.0,474.0,656.0
27.0,3.0,479.0,670.0
28.0,3.0,479.0,826.0
29.0,3.0,487.0,687.0
30.0,3.0,497.0,622.0
31.0,3.0,509.0,623.0
32.0,3.0,511.0,712.0
33.0,4.0,280.0,675.0
34.0,4.0,314.0,638.0
35.0,4.0,333.0,622.0
36.0,4.0,336.0,754.0
37.0,4.0,339.0,706.0
38.0,4.0,340.0,573.0
39.0,4.0,341.0,773.0
40.0,4.0,342.0,615.0
41.0,4.0,344.0,673.0
42.0,4.0,347.0,600.0
43.0,4.0,349.0,733.0
44.0,4.0,350.0,626.0
45.0,4.0,351.0,667.0
46.0,4.0,353.0,601.0
47.0,4.0,354.0,632.0
48.0,4.0,357.0,611.0
49.0,4.0,357.0,776.0
50.0,4.0,360.0,607.0
51.0,4.0,362.0,626.0
52.0,4.0,365.0,717.0
53.0,4.0,367.0,742.0
54.0,4.0,368.0,583.0
55.0,4.0,369.0,789.0
56.0,4.0,370.0,678.0
57.0,4.0,371.0,719.0
58.0,4.0,373.0,659.0
59.0,4.0,374.0,747.0
60.0,4.0,374.0,766.0
61.0,4.0,377.0,703.0
62.0,4.0,382.0,787.0
63.0,4.0,384.0,504.0
64.0,4.0,384.0,773.0
65.0,4.0,386.0,822.0
66.0,4.0,387.0,709.0
67.0,4.0,388.0,515.0
68.0,4.0,388.0,598.0
69.0,4.0,390.0,702.0
70.0,4.0,391.0,698.0
71.0,4.0,393.0,581.0
72.0,4.0,395.0,686.0
73.0,4.0,401.0,684.0
74.0,4.0,403.0,595.0
75.0,4.0,403.0,824.0
76.0,4.0,404.0,563.0
77.0,4.0,405.0,791.0
78.0,4.0,406.0,549.0
79.0,4.0,406.0,812.0
80.0,4.0,408.0,636.0
81.0,4.0,410.0,603.0
82.0,4.0,412.0,670.0
83.0,4.0,415.0,828.0
84.0,4.0,417.0,676.0
85.0,4.0,418.0,471.0
86.0,4.0,425.0,835.0
87.0,4.0,427.0,500.0
88.0,4.0,435.0,854.0
89.0,4.0,438.0,499.0
90.0,4.0,439.0,632.0
91.0,4.0,441.0,476.0
92.0,4.0,443.0,507.0
93.0,4.0,452.0,503.0
94.0,4.0,454.0,491.0
95.0,4.0,454.0,535.0
96.0,4.0,456.0,536.0
97.0,4.0,457.0,470.0
98.0,4.0,462.0,659.0
99.0,4.0,465.0,478.0
100.0,4.0,466.0,494.0
101.0,4.0,478.0,484.0
102.0,4.0,480.0,548.0
103.0,4.0,481.0,505.0
104.0,4.0,485.0,862.0
105.0,4.0,487.0,536.0
106.0,4.0,487.0,577.0
107.0,4.0,500.0,602.0
108.0,4.0,506.0,502.0
109.0,4.0,507.0,551.0
110.0,4.0,516.0,584.0
111.0,4.0,516.0,697.0
112.0,4.0,523.0,664.0
113.0,4.0,524.0,551.0
114.0,4.0,529.0,535.0
115.0,4.0,549.0,706.0
116.0,5.0,296.0,645.0
117.0,5.0,301.0,661.0
118.0,5.0,301.0,681.0
119.0,5.0,306.0,629.0
120.0,5.0,308.0,638.0
121.0,5.0,312.0,765.0
122.0,5.0,313.0,731.0
123.0,5.0,313.0,746.0
