index,axis-0,axis-1,axis-2
0.0,3.0,228.0,518.0
1.0,3.0,281.0,530.0
2.0,3.0,285.0,556.0
3.0,3.0,293.0,631.0
4.0,3.0,307.0,684.0
5.0,3.0,313.0,691.0
6.0,3.0,343.0,821.0
7.0,3.0,367.0,669.0
8.0,4.0,156.0,574.0
9.0,4.0,156.0,582.0
10.0,4.0,157.0,562.0
11.0,4.0,163.0,544.0
12.0,4.0,163.0,571.0
13.0,4.0,168.0,528.0
14.0,4.0,169.0,542.0
15.0,4.0,170.0,635.0
16.0,4.0,172.0,551.0
17.0,4.0,174.0,519.0
18.0,4.0,174.0,560.0
19.0,4.0,174.0,569.0
20.0,4.0,177.0,532.0
21.0,4.0,178.0,509.0
22.0,4.0,178.0,551.0
23.0,4.0,178.0,635.0
24.0,4.0,180.0,605.0
25.0,4.0,181.0,581.0
26.0,4.0,181.0,630.0
27.0,4.0,183.0,550.0
28.0,4.0,184.0,520.0
29.0,4.0,184.0,610.0
30.0,4.0,184.0,620.0
31.0,4.0,185.0,570.0
32.0,4.0,185.0,636.0
33.0,4.0,186.0,533.0
34.0,4.0,186.0,592.0
35.0,4.0,187.0,561.0
36.0,4.0,188.0,603.0
37.0,4.0,189.0,511.0
38.0,4.0,190.0,653.0
39.0,4.0,191.0,578.0
40.0,4.0,192.0,526.0
41.0,4.0,194.0,520.0
42.0,4.0,194.0,587.0
43.0,4.0,194.0,628.0
44.0,4.0,195.0,634.0
45.0,4.0,195.0,652.0
46.0,4.0,196.0,644.0
47.0,4.0,199.0,490.0
48.0,4.0,200.0,584.0
49.0,4.0,201.0,620.0
50.0,4.0,202.0,658.0
51.0,4.0,203.0,666.0
52.0,4.0,204.0,522.0
53.0,4.0,204.0,594.0
54.0,4.0,205.0,562.0
55.0,4.0,206.0,686.0
56.0,4.0,207.0,619.0
57.0,4.0,207.0,670.0
58.0,4.0,208.0,585.0
59.0,4.0,208.0,593.0
60.0,4.0,209.0,602.0
61.0,4.0,209.0,633.0
62.0,4.0,211.0,653.0
