File,Skimage Blobs,Clesperanto Blobs
A375M2_NUP96_1_MMStack_Pos0.ome.tif,823,821
A375M2_NUP96_2_MMStack_Pos0.ome.tif,841,889
A375M2_NUP96_3_MMStack_Pos0.ome.tif,318,341
A375M2_NUP96_4_MMStack_Pos0.ome.tif,200,197
A375M2_NUP96_5_MMStack_Pos0.ome.tif,385,477
